id,weight
0,345488.838869
1,-5151819.49045
2,-11323832.3244
3,-4096662.7031
4,-4969424.73897
5,-5045761.42937
6,-5005226.75458
7,-4961176.76474
8,-5450609.20248
9,-5367722.43432
10,-5346318.00675
11,-5920550.37077
12,-5863799.69701
13,-5975921.6487
14,-5820638.18949
15,-6315790.40423
16,-6498851.13217
17,-12741.1379663
18,21108.1851938
19,-15495.9907578
20,-14118.3653771
21,-15174.9635875
22,-13863.5564674
23,-14082.4814427
24,-15719.4527846
25,-16531.7332421
26,-13628.2281666
27,-17798.8361039
28,-15249.9951742
29,-15302.6439583
30,-14390.789563
31,-13328.5194406
32,-25036.54358
33,-114520.275904
34,748231.889086
35,-162061.307742
36,-187176.264667
37,-157337.024009
38,-154785.259114
39,-197887.700795
40,-169730.00175
41,-176883.994734
42,-194946.784956
43,-167085.917405
44,-236974.784338
45,-258841.98768
46,-129947.733645
47,167790.96441
48,52777.116189
49,-70878.4721816
50,-179487.624644
51,-73760.3813237
52,-46365.7050731
53,-58834.5291252
54,-87967.3837304
55,-53290.2358528
56,-65814.0353149
57,-62517.2949685
58,-93201.2135858
59,-65986.6135522
60,-76377.4064644
61,-64007.4747664
62,-24895.1066344
63,-17229.3662788
64,-27149.7919217
65,-3441347930.05
66,-346706467.755
67,-332222082.039
68,-338681652.069
69,-351451372.32
70,-373228823.409
71,-406171666.84
72,-415538019.598
73,-450874601.984
74,-458563234.047
75,-480884741.792
76,-507403811.598
77,-543340696.964
78,-609510933.066
79,-677220783.183
80,-751441455.799
81,-1630443951.05
82,-2915669795.86
83,-5026978814.98
84,-10484588287.5
85,13408.8410937
86,9997.5157573
87,2372.81235998
88,-232920563.579
89,-208262127.347
90,-179534956.714
91,-218428921.677
92,-14657724.7424
93,-28587449.2143
94,-54183633.9853
95,-93114120.2915
96,468411.129908
97,456748.415677
98,415824.697252
99,-2093959.82035
100,-2041959.72959
101,-1935128.8209
102,-1939876.52691
103,1154364.67858
104,-540996544.713
105,-2832854073.01
106,-454630.762466
107,-3475126054.05
108,-83813.0971074
109,2783674187.96
110,-1064.94718244
111,13022666271.1
112,-39875.8861962
113,-77225.5919714
114,-151400.225505
115,-211370.052418
116,1920.17253918
117,-1277.37972924
118,-8211.28756341
119,252579.952883
120,-329858.995756
121,-1165468.2483
122,-1339394.06705
123,231831.858582
124,236871.65288
125,222493.889461
126,-43860.5486686
127,-193957.664194
128,-514865.010287
129,-1067777.63542
130,29048.5095599
131,22462.8787271
132,-1682.33587148
133,269512.329956
134,273339.148471
135,262733.498421
136,274179.383614
137,262764.092068
138,271542.195606
139,260551.065162
140,-134327.791206
141,-30502.0837312
142,4541.98299169
143,-68312.2061293
144,3084.18274522
145,-114082.938341
146,1532.53828194
147,-43047.3833064
148,-5618.65905867
149,4646.58901595
150,-18863.6341814
151,3578.8262967
152,-35858.3941139
153,2232.76654985
154,-81.663677697
155,-97.7354923222
156,-84.3126323052
157,-342.005771873
158,-454.787628363
159,-544.312141414
160,-392.361027976
161,-472.372937192
162,-396.764419667
163,-574.634494204
164,-621.046014588
165,-481.565258133
166,-274.143641872
167,44691.8784598
168,130871.274421
169,90498.2056688
170,-1129.10330904
171,-1466.08740662
172,-1843.37915531
173,-2900.72207131
174,-3588.47777291
175,-5318.77412653
176,-6624.19649065
177,-7723.27874278
178,-8791.14652031
179,-10455.2151648
180,-12230.2396722
181,-13166.6566008
182,-16240.9168134
183,-17373.027947
184,-13826.9751862
185,-11634.5942264
186,-446.739164895
187,-492.72956379
188,-584.038805284
189,-940.956741933
190,-1339.72938374
191,-1910.20381558
192,-2300.05732781
193,-2899.31900865
194,-3549.98705895
195,-3600.35880249
196,-4685.95823715
197,-4647.34989065
198,-5725.32672545
199,-5138.58526011
200,-2158.43167808
201,-2612.6118418
